,"As75","Cd111","Co59","Cu65","DTF spain 2009 (1st experiment)","DTF spain 2009 (2nd experiment)","DTF sweden 2009 (1st experiment)","DTF sweden 2009 (2nd experiment)","DTFmainEffect2009","FT16","K39","Mg25","Mn55","Mo98","Na23","Ni60","P31","Rb85","S34","Se82","Zn66"
"As75",1,0.0122511485,0.0096707819,0.0022026432,0,0,0,0,0,0,0.0061913321,0,0.0059293632,0.0040736805,0.0117460613,0.003164557,0.0147601476,0.003954523,0.0032805866,0,0.0068480474
"Cd111",0.0122511485,1,0.1526088268,0.0014265335,0.0475070555,0.033625731,0.0430159497,0.0419307655,0.0488721805,0.0154255319,0.1116835632,0.018793274,0.0032520325,0.2059308072,0.1503219871,0.0175801448,0.0201271186,0.112722877,0.0054307941,0.0026553372,0.230435537
"Co59",0.0096707819,0.1526088268,1,0.0292076644,0.0207022529,0.0129262087,0.0145236644,0.0135231317,0.0208988536,0.0031929138,0.4591498342,0.0046724225,0.1872615985,0.2372203168,0.785808378,0.0155456524,0.0105644744,0.1860513032,0.2005069916,0.145099703,0.2071838848
"Cu65",0.0022026432,0.0014265335,0.0292076644,1,0.0014326648,0,0.0015898251,0,0.0014224751,0,0.0472808442,0,0.0533891651,0.001902785,0.0256985328,0.0628019324,0.0050505051,0.0410826486,0.0290023202,0.0321936611,0.0007195539
"DTF spain 2009 (1st experiment)",0,0.0475070555,0.0207022529,0.0014326648,1,0.4631147541,0.4196597353,0.4038461538,0.9366197183,0.1155555556,0.0140142062,0.0046153846,0.0109729334,0.0515738929,0.0215410108,0,0.0077669903,0.0111111111,0.0072168764,0.0097248577,0.0456217807
"DTF spain 2009 (2nd experiment)",0,0.033625731,0.0129262087,0,0.4631147541,1,0.608478803,0.6041131105,0.4703476483,0.1445086705,0.007788162,0.0073664825,0.0127851592,0.0397493286,0.0146787297,0,0.00486618,0.0055632823,0.0071711644,0.0131803759,0.036802974
"DTF sweden 2009 (1st experiment)",0,0.0430159497,0.0145236644,0.0015898251,0.4196597353,0.608478803,1,0.6082725061,0.4291115312,0.1424802111,0.0092933204,0.0051635112,0.015189243,0.0426404996,0.0167803799,0,0.0044642857,0.0063868613,0.0086336336,0.0152727273,0.040585619
"DTF sweden 2009 (2nd experiment)",0,0.0419307655,0.0135231317,0,0.4038461538,0.6041131105,0.6082725061,1,0.4107485605,0.1444444444,0.0069821567,0.0089605735,0.0134932534,0.0388938448,0.0154059041,0,0.0023364486,0.0055223194,0.0080979284,0.0151035323,0.0380404528
"DTFmainEffect2009",0,0.0488721805,0.0208988536,0.0014224751,0.9366197183,0.4703476483,0.4291115312,0.4107485605,1,0.119205298,0.0147792706,0.0030487805,0.0109595714,0.0519018841,0.0220012888,0,0.0096339114,0.0119840213,0.0068379227,0.0092351409,0.0461566752
"FT16",0,0.0154255319,0.0031929138,0,0.1155555556,0.1445086705,0.1424802111,0.1444444444,0.119205298,1,0.0014121444,0,0.0034076016,0.0113882863,0.0046602666,0,0,0,0.0015634161,0.0043345232,0.0103558652
"K39",0.0061913321,0.1116835632,0.4591498342,0.0472808442,0.0140142062,0.007788162,0.0092933204,0.0069821567,0.0147792706,0.0014121444,1,0,0.2681202121,0.0726840364,0.4019643179,0.0236396984,0.0126041878,0.3822322528,0.2705233453,0.1989823982,0.0597451431
"Mg25",0,0.018793274,0.0046724225,0,0.0046153846,0.0073664825,0.0051635112,0.0089605735,0.0030487805,0,0,1,0.0104113763,0.0373713667,0.0078377132,0.0076726343,0,0,0.0195169082,0.0209685472,0.0429111531
"Mn55",0.0059293632,0.0032520325,0.1872615985,0.0533891651,0.0109729334,0.0127851592,0.015189243,0.0134932534,0.0109595714,0.0034076016,0.2681202121,0.0104113763,1,0.0458455966,0.16155271,0.0067340067,0.0005204267,0.1370280146,0.4564025909,0.4664474956,0.0591277771
"Mo98",0.0040736805,0.2059308072,0.2372203168,0.001902785,0.0515738929,0.0397493286,0.0426404996,0.0388938448,0.0519018841,0.0113882863,0.0726840364,0.0373713667,0.0458455966,1,0.2590403608,0.0109064903,0.0095340889,0.0342504211,0.0600664051,0.0701613826,0.6368469016
"Na23",0.0117460613,0.1503219871,0.785808378,0.0256985328,0.0215410108,0.0146787297,0.0167803799,0.0154059041,0.0220012888,0.0046602666,0.4019643179,0.0078377132,0.16155271,0.2590403608,1,0.013939564,0.010010291,0.162114619,0.181066867,0.127016129,0.2280526275
"Ni60",0.003164557,0.0175801448,0.0155456524,0.0628019324,0,0,0,0,0,0,0.0236396984,0.0076726343,0.0067340067,0.0109064903,0.013939564,1,0.0276679842,0.0327868852,0.003678606,0.0022562046,0.0098659717
"P31",0.0147601476,0.0201271186,0.0105644744,0.0050505051,0.0077669903,0.00486618,0.0044642857,0.0023364486,0.0096339114,0,0.0126041878,0,0.0005204267,0.0095340889,0.010010291,0.0276679842,1,0.0149100257,0.0011682243,0.0005058169,0.0133659639
"Rb85",0.003954523,0.112722877,0.1860513032,0.0410826486,0.0111111111,0.0055632823,0.0063868613,0.0055223194,0.0119840213,0,0.3822322528,0,0.1370280146,0.0342504211,0.162114619,0.0327868852,0.0149100257,1,0.1319330489,0.0944625407,0.0328414352
"S34",0.0032805866,0.0054307941,0.2005069916,0.0290023202,0.0072168764,0.0071711644,0.0086336336,0.0080979284,0.0068379227,0.0015634161,0.2705233453,0.0195169082,0.4564025909,0.0600664051,0.181066867,0.003678606,0.0011682243,0.1319330489,1,0.6377720398,0.0765615208
"Se82",0,0.0026553372,0.145099703,0.0321936611,0.0097248577,0.0131803759,0.0152727273,0.0151035323,0.0092351409,0.0043345232,0.1989823982,0.0209685472,0.4664474956,0.0701613826,0.127016129,0.0022562046,0.0005058169,0.0944625407,0.6377720398,1,0.0920737548
"Zn66",0.0068480474,0.230435537,0.2071838848,0.0007195539,0.0456217807,0.036802974,0.040585619,0.0380404528,0.0461566752,0.0103558652,0.0597451431,0.0429111531,0.0591277771,0.6368469016,0.2280526275,0.0098659717,0.0133659639,0.0328414352,0.0765615208,0.0920737548,1
